frequency for    : 0
frequency for ‏נ : 5.35836e-05
frequency for ‏ס : 8.82553e-05
frequency for ‏ע : 0.000491708
frequency for ‏ף : 0
frequency for ‏פ : 0
frequency for ‏ץ : 1.05066e-05
frequency for ‏צ : 5.25329e-06
frequency for ‏ק : 7.45968e-05
frequency for ‏ר : 2.73171e-05
frequency for ‏ש : 0.000441277
frequency for ‏û : 0
frequency for ‏ü : 0
frequency for ‏‎ : 0
frequency for ‏‏ : 3.46717e-05
frequency for ‏ÿ : 0
frequency for ÿ  : 0.0103458
frequency for ÿא : 0
frequency for ÿב : 6.72421e-05
frequency for ÿג : 0.000315198
frequency for ÿד : 7.35461e-05
frequency for ÿה : 0.000592571
frequency for ÿו : 0.000102965
frequency for ÿז : 0.000591521
frequency for ÿח : 0.000514823
frequency for ÿט : 1.15572e-05
frequency for ÿי : 4.09757e-05
frequency for ÿך : 0.000147092
frequency for ÿכ : 0.000922478
frequency for ÿל : 0.000341464
frequency for ÿם : 0.000567356
frequency for ÿמ : 0
frequency for ÿן : 4.09757e-05
frequency for ÿנ : 6.30395e-05
frequency for ÿס : 0.000702891
frequency for ÿע : 0.00137321
frequency for ÿף : 8.40527e-06
frequency for ÿפ : 0
frequency for ÿץ : 0.000213284
frequency for ÿצ : 3.88744e-05
frequency for ÿק : 0.000117674
frequency for ÿר : 2.31145e-05
frequency for ÿש : 0.000213284
frequency for ÿû : 0
frequency for ÿü : 0
frequency for ÿ‎ : 1.05066e-06
frequency for ÿ‏ : 9.77112e-05
frequency for ÿÿ : 0.000160751
